gene,p-value,chrom
R3HDM2,0.926,chr12
PIP4K2C,0.947,chr12
DTX3,0.639,chr12
ARHGEF25,0.431,chr12
SLC26A10,0.435,chr12
OS9,0.177,chr12
CDK4,0.805,chr12
TSPAN31,0.794,chr12
CYP27B1,0.562,chr12
METTL1,0.581,chr12
TSFM,0.834,chr12
EEF1AKMT3,0.673,chr12
AVIL,0.233,chr12
SLC16A7,0.032,chr12
TNFRSF1A,0.612,chr12
SRGAP1,0.288,chr12
XPOT,0.883,chr12
CD27-AS1,0.607,chr12
CD27,0.608,chr12
RASSF3,0.42,chr12
GNS,0.279,chr12
MSRB3,0.0561,chr12
LLPH,0.125,chr12
TMBIM4,0.193,chr12
DYRK2,0.856,chr12
P3H3,0.21,chr12
MDM1,0.511,chr12
GNB3,0.00478,chr12
CDCA3,0.00524,chr12
USP5,0.568,chr12
TPI1,0.387,chr12
NUP107,0.246,chr12
LOC105369820,0.118,chr12
SLC35E3,0.142,chr12
MDM2,0.106,chr12
LRRC23,0.0399,chr12
LOC105369632,0.0528,chr12
RPL13P5,0.1041,chr12
DSTNP2,0.0364,chr12
CPM,0.00385,chr12
CPSF6,0.147,chr12
LYZ,0.541,chr12
C1S,0.537,chr12
C1R,0.863,chr12
C1RL,0.474,chr12
C1RL-AS1,0.0225,chr12
RBP5,0.222,chr12
RAB21,0.722,chr12
TBC1D15,0.104,chr12
PEX5,0.688,chr12
ATXN7L3B,0.00095,chr12
BBS10,0.285,chr12
OSBPL8,0.913,chr12
SLC2A3,0.691,chr12
PAWR,0.585,chr12
TMTC2,0.111,chr12
C12orf29,0.289,chr12
PHC1,0.958,chr12
DUSP6,0.295,chr12
M6PR,0.233,chr12
POC1B-GALNT4,9e-06,chr12
POC1B,1.6e-05,chr12
GALNT4,8e-06,chr12
ATP2B1,0.0649,chr12
A2M,0.000695,chr12
LUM,0.0002575,chr12
DCN,0.512,chr12
EEA1,0.0508,chr12
MRPL42,0.877,chr12
FGD6,0.003,chr12
VEZT,0.0297,chr12
NTN4,0,chr12
LOC102723340,0.173,chr12
LTA4H,0.162,chr12
ELK3,0.512,chr12
CDK17,0.995,chr12
LOC374443,0.00081,chr12
CLEC2D,0.00175,chr12
NEDD1,0.703,chr12
TMPO,0.193,chr12
SLC25A3,0.344,chr12
IKBIP,0.0347,chr12
APAF1,0.00479,chr12
ANKS1B,0.00677,chr12
UTP20,0.0731,chr12
WASHC3,0.765,chr12
GABARAPL1,0.513,chr12
ERC1,0.834,chr12
NT5DC3,0.0817,chr12
HSP90B1,0.404,chr12
SLC41A2,0.973,chr12
NOPCHAP1,0.541,chr12
ALDH1L2,0.724,chr12
KLRA1P,0.558,chr12
MAGOHB,0.18,chr12
NUAK1,0.0117,chr12
POLR3B,0.336,chr12
LOC100287944,0.527,chr12
YBX3,0.0288,chr12
WSCD2,0.0217,chr12
CMKLR1,0.000186666666666667,chr12
SSH1,0.128,chr12
USP30,0.291,chr12
MYO1H,0.0315,chr12
KCTD10,0.0448,chr12
MMAB,0.862,chr12
MVK,0.446,chr12
TRPV4,0.301,chr12
IFT81,0.35,chr12
ATP2A2,0.255,chr12
PHETA1,0.965,chr12
SH2B3,0.403,chr12
ATXN2,0.406,chr12
MAPKAPK5-AS1,0.00899,chr12
TMEM116,0.985,chr12
"NAA25",0.678,chr12
HECTD4,0.867,chr12
OAS3,0.011,chr12
TPCN1,0.265,chr12
SLC8B1,0.886,chr12
PLBD2,0.561,chr12
RBM19,0.144,chr12
MED13L,0.404,chr12
SPRING1,0.608,chr12
VSIG10,1e-04,chr12
PEBP1,0.0579,chr12
ETV6,0.573,chr12
GCN1,0.122,chr12
RPLP0,0.00073,chr12
PXN-AS1,0.598,chr12
PXN,0.582,chr12
GATC,0.696,chr12
SRSF9,0.0779,chr12
NRAV,0.11,chr12
DYNLL1,0.289,chr12
COQ5,0.387,chr12
RNF10,0.635,chr12
POP5,0.735,chr12
MLEC,0.783,chr12
UNC119B,0.0157,chr12
ACADS,0.0808,chr12
C12orf43,0.472,chr12
LRP6,0.289,chr12
BCL2L14,0.297,chr12
CAMKK2,0.45,chr12
ANAPC5,0.105,chr12
KDM2B,0.621,chr12
LMBR1L,0.0866,chr12
TUBA1B,0.709,chr12
TUBA1A,0.663,chr12
TUBA1C,0.61,chr12
TFCP2,0.643,chr12
KRT8,0.0653,chr12
LOC283335,0.000325,chr12
TNS2,0.452,chr12
SPRYD3,0.251,chr12
AAAS,0.1069,chr12
PCBP2,0.149,chr12
MAP3K12,0.139,chr12
HOXC5,0.585,chr12
HOXC10,0.974,chr12
HOXC4,0.316,chr12
HOXC6,0.299,chr12
SMUG1,0.00188,chr12
TMEM120B,0.761,chr12
RHOF,0.691,chr12
SETD1B,0.0401,chr12
MLXIP,0.1,chr12
CLIP1,0.107,chr12
KNTC1,0.112,chr12
DENR,0.561,chr12
MPHOSPH9,0.207,chr12
SBNO1,0.41,chr12
RILPL2,0.00301,chr12
TMED2,0.196,chr12
DDX55,0.00435,chr12
EIF2B1,0.833,chr12
GTF2H3,0.0223,chr12
TCTN2,0.497,chr12
DNAH10,0.122,chr12
CCDC92,0.169,chr12
ZNF664-RFLNA,0.435,chr12
ZNF664,0.426,chr12
NCOR2,0.296,chr12
DUSP16,0.0014,chr12
DHX37,0.0598,chr12
AACS,0.805,chr12
CDKN1B,0.0622,chr12
SLC15A4,0,chr12
GPRC5A,0.000463333333333333,chr12
FZD10,0.545,chr12
SFSWAP,0.4,chr12
ULK1,0.6,chr12
EP400,0.111,chr12
EP400P1,0.629,chr12
DDX51,0.674,chr12
EMP1,0.311,chr12
FBRSL1,0.0552,chr12
POLE,0.576,chr12
ANKLE2,0.0428,chr12
GOLGA3,0.0381,chr12
CHFR,0.42,chr12
ZNF605,0.992,chr12
ZNF84,0.445,chr12
ZNF140,0.258,chr12
ZNF891,0.0796,chr12
ZNF10,0.42,chr12
ZNF268,0.538,chr12
ATF7IP,0.0201,chr12
PLBD1,0.711,chr12
LOC102724050,0.356,chr12
ZNF385A,0.0757,chr12
BLOC1S1-RDH5,0.239,chr12
RDH5,0.252,chr12
CD63,0.529,chr12
CD63-AS1,0.89,chr12
ZBTB39,0.501,chr12
NEMP1,0.437,chr12
STAT6,0.0584,chr12
B4GALNT1,0.962,chr12
MARCHF9,0.827,chr12
CTDSP2,0.1013,chr12
GIHCG,0.605,chr12
ATP23,0.375,chr12
LRIG3,0.687,chr12
MON2,0.00805,chr12
DPY19L2,0.683,chr12
KICS2,0.393,chr12
TAPBPL,0.345,chr12
VAMP1,0.333,chr12
MRPL51,0.52,chr12
NCAPD2,0.979,chr12
LEMD3,0.879,chr12
HELB,0.0487,chr12
CAND1,0.465,chr12
CD4,0.673,chr12
FRS2,0.0729,chr12
CCT2,0.861,chr12
PHLDA1,0.00583,chr12
ZDHHC17,0.0176,chr12
FOXJ2,0.251,chr12
WNK1,0.901,chr12
RAD52,0.47,chr12
BTG1-DT,0.386,chr12
BTG1,0.301,chr12
NUDT4,0.129,chr12
METAP2,0.0193,chr12
USP44,0.0931,chr12
PGAM1P5,0,chr12
SCYL2,0.585,chr12
C12orf73,0.201,chr12
GLT8D2,3.6e-05,chr12
NFYB,0.996,chr12
C12orf75,0.134,chr12
PRDM4,0.0718,chr12
ACACB,0.254,chr12
UBE3B,0.0182,chr12
TCHP,0.948,chr12
GIT2,0.828,chr12
PPTC7,0.0427,chr12
ALDH2,0.567,chr12
ERP29,0.000585,chr12
TRAFD1,0.348,chr12
FBXW8,0.109,chr12
FBXO21,0.935,chr12
RFC5,0.922,chr12
TAOK3,0.838,chr12
SUDS3,0.163,chr12
LOC105370026,0.601,chr12
HSPB8,0.627,chr12
VPS33A,0.347,chr12
UHRF1BP1L,0.00656,chr12
ARL1,0.867,chr12
CHPT1,0.498,chr12
DRAM1,0.000725,chr12
HCFC2,0.109,chr12
TXNRD1,0.355,chr12
MANSC1,0.804,chr12
DDX47,0.0395,chr12
APOLD1,0.0394,chr12
STX2,0.168,chr12
NOC4L,0.75,chr12
C12orf60,0,chr12
MGP,0,chr12
PLEKHA5,0.125,chr12
AEBP2,0.271,chr12
RECQL,0.318,chr12
PYROXD1,0.261,chr12
CMAS,0.385,chr12
SULT6B2P,0.224,chr12
ST8SIA1,0.183,chr12
ETNK1,0.253,chr12
SOX5,0.00061,chr12
BCAT1,0.000109,chr12
LOC105369699,0.27,chr12
RASSF8-AS1,0.649,chr12
RASSF8,0.835,chr12
ITPR2,0.271,chr12
STK38L,0.00325,chr12
PPFIBP1,0.734,chr12
MRPS35-DT,0.775,chr12
REP15,0.764,chr12
MRPS35,0.0223,chr12
KLHL42,0.00074,chr12
CCDC91,0.469,chr12
FOXM1,0.195,chr12
ITFG2,0.192,chr12
TULP3,0.443,chr12
RHNO1,0.00674,chr12
OVCH1-AS1,0.101,chr12
IPO8,0.00241,chr12
DDX11,0.226,chr12
DENND5B,0.754,chr12
RESF1,0.00397,chr12
BICD1,0.545,chr12
FGD4,0.183,chr12
DNM1L,0.371,chr12
YARS2,0.27,chr12
TSPAN9,0.503,chr12
LRRK2,0.448,chr12
GXYLT1,0.8,chr12
PPHLN1,0.762,chr12
ZCRB1,0.909,chr12
PRICKLE1,0.136,chr12
TIGAR,0.464,chr12
CCND2,0.0234,chr12
PUS7L,0.52,chr12
IRAK4,0.00245,chr12
TWF1,0.025,chr12
SCAF11,0.318,chr12
SLC38A2,0.163,chr12
RPAP3,0.522,chr12
SLC48A1,0.467,chr12
COL2A1,0.17,chr12
LOC105369614,0.00365,chr12
GALNT8,0.0038,chr12
KCNA6,0.0108,chr12
CCDC184,0.143,chr12
ZNF641,0.687,chr12
KMT2D,0.734,chr12
BCDIN3D-AS1,0.443,chr12
BCDIN3D,0.443,chr12
NR4A1,0.693,chr12
PRR13,0.43,chr12
SARNP,0.451,chr12
DNAJC14,0.467,chr12
SPRYD4,0.256,chr12
MIP,0.245,chr12
PRIM1,0.739,chr12
HSD17B6,0.737,chr12
CD9,0.349,chr12
USP15,0.483,chr12
NINJ2-AS1,0.416,chr12
NINJ2,0.374,chr12
GAPDH,0,chr12
CHD4,0.353,chr12
NOP2,0.137,chr12
IRAK3,0.317,chr12
COPS7A,0.626,chr12
MLF2,0.12,chr12
ENO2,3e-06,chr12
RNU7-1,0.721,chr12
C12orf57,0.962,chr12
FICD,0.803,chr12
SART3,0.0594,chr12
C12orf76,0.143,chr12
ANKRD13A,0.104,chr12
CLSTN3,0.74,chr12
CEP83,0.906,chr12
SNRPF,0.139,chr12
MIR3652,0.595,chr12
WASHC4,0.908,chr12
TCP11L2,0.531,chr12
BTBD11,0.544,chr12
ISCU,0.67,chr12
ACAD10,0.755,chr12
WSB2,7.8e-05,chr12
P2RX7,0.125,chr12
ORAI1,0.00422,chr12
HIP1R,1,chr12
ABCB9,0.911,chr12
PITPNM2,0.532,chr12
KMT5A,0.0851,chr12
SCARB1,0.163,chr12
UBC,0.000212,chr12
THRIL,0.537,chr12
BRI3BP,0.81,chr12
FAM234B,0.0641,chr12
RAN,0.325,chr12
PXMP2,0.332,chr12
PGAM5,0.114,chr12
H2AJ,0.0285,chr12
WBP11,0.428,chr12
RERG,0.177,chr12
MGST1,0.505,chr12
ADIPOR2,0,chr12
DCP1B,0.0102,chr12
PDE3A,0.0331,chr12
GOLT1B,0.151,chr12
ETFRF1,0.465,chr12
KRAS,0.136,chr12
INTS13,0.902,chr12
FAR2,0.546,chr12
TMTC1,1e-06,chr12
CAPRIN2,0.947,chr12
TSPAN11,0,chr12
ETFBKMT,0.0477,chr12
KIF21A,0.0852,chr12
SLC2A13,0.0154,chr12
C12orf40,0.0142,chr12
CCDC77,0.129,chr12
ANO6,0.591,chr12
VPS29,0.987,chr12
PPP1CC,0.169,chr12
RNF34,0.841,chr12
CFAP251,0.278,chr12
DDX23,0.157,chr12
DDN-AS1,0.057,chr12
PRKAG1,0.058,chr12
SMARCD1,0.532,chr12
ATG101,0.721,chr12
MFSD5,0.317,chr12
TARBP2,0.596,chr12
ATF7,0.789,chr12
ATF7-NPFF,0.809,chr12
HOXC11,0.257,chr12
ITGA5,0.753,chr12
NXPH4,0.398,chr12
TBK1,0.268,chr12
IFFO1,0.908,chr12
NECAP1,0.582,chr12
CLEC4A,0.666,chr12
TMTC3,0.971,chr12
DEPDC4,0.704,chr12
ACTR6,0.705,chr12
TDG,0.68,chr12
OAS1,0.186,chr12
TRIAP1,0.77,chr12
LINC01089,0.108,chr12
SNRNP35,0.251,chr12
RILPL1,0.24,chr12
CREBL2,0.744,chr12
ARHGDIB,0.351,chr12
DERA,0.764,chr12
SLC6A12,0.214,chr12
LOC105369690,0.314,chr12
LOC105369705,0.000148571428571429,chr12
SSPN,0.00017,chr12
LOC101928554,5.4e-05,chr12
FGFR1OP2,0.28,chr12
TM7SF3,0.45,chr12
MED21,0.44,chr12
ARNTL2-AS1,0.0284,chr12
ARNTL2,0.0297,chr12
LOC729291,0.457,chr12
ERGIC2,0.142,chr12
TEAD4,0.679,chr12
ALG10,0.452,chr12
ALG10B,0.299,chr12
CPNE8,0.745,chr12
C12orf4,0.451,chr12
GPD1,0.304,chr12
LARP4,0.0254,chr12
METTL7A,0.357,chr12
SLC11A2,0.0567,chr12
LETMD1,0.111,chr12
CSRNP2,0.00759,chr12
AVPR1A,0.632,chr12
EMG1,0.118,chr12
LPCAT3,0.212,chr12
GLIPR1,6.9e-05,chr12
KRR1,0.000336666666666667,chr12
"NAP1L1",0.562,chr12
FBXL14,0.694,chr12
WNT5B,0.683,chr12
CRADD,0.53,chr12
GNPTAB,0.116,chr12
NUP37,0.882,chr12
CHST11,0.985,chr12
APPL2,0.302,chr12
CKAP4,0.187,chr12
TMEM119,0.867,chr12
ARPC3,0.947,chr12
ANAPC7,0.942,chr12
P2RX4,0.0936,chr12
EPS8,0.085,chr12
PARP11,0.59,chr12
TROAP,0.652,chr12
SPATS2,0.332,chr12
PRPF40B,0.158,chr12
FMNL3,0.134,chr12
SMUG1-AS1,0.0002525,chr12
LINC02381,0.00028,chr12
CCDC59,0.586,chr12
METTL25,0.372,chr12
CEP290,0.0594,chr12
LINC00987,0.0439,chr12
A2MP1,0.0414,chr12
GABARAPL1-AS1,0.943,chr12
RIC8B,0.297,chr12
TMEM263,0.163,chr12
MTERF2,0.254,chr12
PWP1,0.561,chr12
LOC101929162,0.0149,chr12
RAB35,0.772,chr12
SPPL3,0.00723,chr12
BCL7A,0.336,chr12
ARL6IP4,0.314,chr12
OGFOD2,0.308,chr12
LOC105369692,0.556,chr12
C2CD5,0.597,chr12
KDM5A,0.904,chr12
YAF2,0.302,chr12
MCRS1,0.304,chr12
TMBIM6,0.934,chr12
COPZ1,0.773,chr12
CDK2,0.505,chr12
PMEL,0.543,chr12
STAT2,0.477,chr12
PPM1H,0.313,chr12
LTBR,0.54,chr12
RAB3IP,0.0598,chr12
MYRFL,0.0621,chr12
TMEM19,0.335,chr12
ACSS3,0.612,chr12
PARP11-AS1,0.962,chr12
DYRK4,0.347,chr12
PARPBP,0.168,chr12
CDK2AP1,0.358,chr12
MTRFR,0.38,chr12
FZD10-AS1,0.232,chr12
OVCH1,0.238,chr12
AMN1,0.0873,chr12
ADCY6,0.491,chr12
RGCC,0.0404,chr13
DGKH,0.292,chr13
AKAP11,0.256,chr13
DNAJC15,0.556,chr13
TSC22D1,0.00123,chr13
LOC105370188,0.119,chr13
GPALPP1,0.1,chr13
TPT1-AS1,0.934,chr13
ZC3H13,0.194,chr13
RUBCNL,0.625,chr13
LRCH1,0.429,chr13
PHF11,0.662,chr13
KPNA3,0.603,chr13
SPRYD7,0.889,chr13
DLEU2,0.519,chr13
TRIM13,0.312,chr13
KCNRG,0.362,chr13
DLEU1,0.15,chr13
ALG11,0.458,chr13
UTP14C,0.472,chr13
NEK3,0.0444,chr13
HNRNPA1L2,0.206,chr13
SUGT1,0.327,chr13
DIS3,0.605,chr13
PIBF1,0.296,chr13
KLF12,0.0644,chr13
TBC1D4,0.543,chr13
KCTD12,0.0112,chr13
NDFIP2,0.356,chr13
GPR180,0.03,chr13
DZIP1,0.0268,chr13
UGGT2,0.245,chr13
IPO5,0.00343,chr13
FARP1,5.2e-05,chr13
STK24,0.0129,chr13
ZIC2,0.00929,chr13
PCCA,0.272,chr13
TMTC4,0.757,chr13
FGF14,0.115,chr13
ITGBL1,0.0685,chr13
LOC105370337,0.997,chr13
TEX30,0.993,chr13
POGLUT2,0.13,chr13
BIVM-ERCC5,0.643,chr13
BIVM,0.297,chr13
ERCC5,0.587,chr13
LIG4,0.402,chr13
ABHD13,0.192,chr13
RAB20,0.00669,chr13
"NAXD",0.642,chr13
CARS2,0.867,chr13
ING1,0.338,chr13
PRECSIT,0.0921,chr13
ANKRD10,0.000109,chr13
ARHGEF7,0.122,chr13
ATP11A,0.766,chr13
DCUN1D2,0.981,chr13
TMCO3,0.0436,chr13
RASA3,0.0105,chr13
MPHOSPH8,0.406,chr13
PSPC1,0.00595,chr13
ZMYM5,0.0469,chr13
CRYL1,0.465,chr13
SAP18,0.0678,chr13
MRPL57,0.643,chr13
ZDHHC20,0.199,chr13
MICU2,0.445,chr13
SACS,0.00415,chr13
MIPEP,0.248,chr13
SPATA13,0.22,chr13
CENPJ,0.264,chr13
NUP58,0.298,chr13
RNF6,0.573,chr13
WASF3,8.3e-05,chr13
LOC107984597,3.9e-05,chr13
USP12,0.115,chr13
LNX2,0.183,chr13
LOC105370129,0.0689,chr13
POLR1D,0.0424,chr13
UBL3,0.222,chr13
KATNAL1,0.18,chr13
HMGB1,0.00212,chr13
USPL1,0.784,chr13
TEX26-AS1,0.00013375,chr13
MEDAG,0.00452,chr13
FRY,0.484,chr13
N4BP2L2,0.578,chr13
PDS5B,0.08,chr13
NBEA,0.0127,chr13
SPART,0.0345,chr13
EXOSC8,0.905,chr13
SUPT20H,0.849,chr13
PROSER1,0.577,chr13
COG6,0.0271,chr13
FOXO1,0.887,chr13
MRPS31,0.389,chr13
SLC25A15,0.0184,chr13
KBTBD6,0.283,chr13
VWA8,0.646,chr13
CCDC122,0.229,chr13
LACC1,0.427,chr13
SLC25A30,0.289,chr13
COG3,0.769,chr13
ESD,0.635,chr13
RCBTB1,0.4,chr13
WDFY2,0.861,chr13
DHRS12,0.218,chr13
ATP7B,0.778,chr13
TDRD3,0.000735,chr13
MZT1,0.0641,chr13
GPC6,0.152,chr13
ABCC4,0.355,chr13
RAP2A,0.0111,chr13
DOCK9,0.163,chr13
TPP2,0.851,chr13
COL4A1,0.0449,chr13
COL4A2,0.881,chr13
COL4A2-AS1,0.282,chr13
PCID2,0.0646,chr13
CUL4A,0.54,chr13
TMEM255B,0.435,chr13
GAS6,0.963,chr13
GAS6-AS1,0.96,chr13
CDC16,0.212,chr13
IFT88,0.725,chr13
IL17D,0.026,chr13
XPO4,0.182,chr13
LINC00539,0.756,chr13
PARP4,0.193,chr13
TPTE2P6,0.188,chr13
PAN3,0.567,chr13
SLC46A3,0.47,chr13
N4BP2L1,0.754,chr13
STARD13,0.782,chr13
MAB21L1,0.92,chr13
"NALF1",0.949,chr13
SMAD9,0.091,chr13
POSTN,0.0183,chr13
"NAA16",0.1018,chr13
EPSTI1,0.087,chr13
CDADC1,0.326,chr13
CAB39L,0.816,chr13
SETDB2,0.994,chr13
CNMD,0.524,chr13
COMMD6,0.516,chr13
LMO7,0.192,chr13
CLN5,0.493,chr13
FBXL3,0.514,chr13
MYCBP2,0.696,chr13
RBM26,0.126,chr13
SPRY2,0.277,chr13
GPC5,0.219,chr13
GTF3A,0.513,chr13
MTIF3,0.237,chr13
BRCA2,0.236,chr13
LOC105370174,0.463,chr13
GTF2F2,0.215,chr13
TPT1,0.256,chr13
FNDC3A,0.609,chr13
INTS6-AS1,0.644,chr13
PCDH20,0.689,chr13
OBI1-AS1,0.249,chr13
OBI1,0.272,chr13
RBM26-AS1,0.985,chr13
IRS2,0.136,chr13
LAMP1,0.431,chr13
CHAMP1,0.705,chr13
LATS2,0.444,chr13
SKA3,0.0736,chr13
TNFRSF19,0.921,chr13
FLT1,0.292,chr13
POMP,0.202,chr13
B3GLCT,0.358,chr13
RFC3,0.809,chr13
UFM1,0.759,chr13
LHFPL6,0.201,chr13
MTRF1,0.167,chr13
ERICH6B,0.389,chr13
RCBTB2,0.805,chr13
RB1,0.836,chr13
MRPS31P5,0.748,chr13
MYCBP2-AS1,0.504,chr13
MBNL2,0.0968,chr13
FGF14-AS2,0.397,chr13
ARGLU1,0.234,chr13
MTMR6,0.0229,chr13
ELF1,0.378,chr13
NUDT15,0.785,chr13
INTS6,0.27,chr13
SERPINE3,0.268,chr13
HSPH1,0.0461,chr13
NHLRC3,0.106,chr13
WBP4,0.388,chr13
UPF3A,0.385,chr13
LOC101929140,0.0489,chr13
KBTBD7,0.0474,chr13
SLAIN1,0.97,chr13
ZMYM2,0.444,chr13
NRDE2,0.159,chr14
CALM1,0.503,chr14
PPP4R3A,0.412,chr14
FBLN5,0.0897,chr14
RIN3,0.000325,chr14
LGMN,0.461,chr14
UBR7,0.00213,chr14
IFI27L1,0.341,chr14
SERPINA6,2e-06,chr14
SERPINA1,0.102,chr14
SERPINA5,0,chr14
SERPINA3,0,chr14
DICER1,0.892,chr14
DICER1-AS1,0.855,chr14
CLMN,0.767,chr14
SYNE3,0.237,chr14
LOC112268122,0.122,chr14
SNHG10,0.131,chr14
C14orf132,0.039,chr14
BDKRB1,0.108,chr14
BDKRB2,0.117,chr14
ATG2B,0.328,chr14
GSKIP,0.559,chr14
PAPOLA,0.077,chr14
VRK1,0.0101,chr14
EML1,0.671,chr14
SLC25A29,0.0785,chr14
MIR1247,0.256,chr14
DIO3OS,0.236,chr14
PPP2R5C,0.0941,chr14
TRAF3,0.373,chr14
EIF5,0.88,chr14
INF2,0.309,chr14
TTC5,0.203,chr14
CCNB1IP1,0.0316,chr14
TEP1,0.00729,chr14
ANG,0.31,chr14
RNASE4,0.0127,chr14
METTL17,0.118,chr14
NDRG2,0.711,chr14
LINC00641,0.126,chr14
CHD8,0.461,chr14
TOX4,0.923,chr14
METTL3,0.791,chr14
SALL2,0.552,chr14
OXA1L,0.851,chr14
MRPL52,0.017,chr14
MMP14,0.64,chr14
LRP10,0.199,chr14
RBM23,0.422,chr14
HAUS4,0.441,chr14
AJUBA,0.412,chr14
PSMB5,0.703,chr14
ACIN1,0.723,chr14
HOMEZ,0.472,chr14
BCL2L2-PABPN1,0.359,chr14
PPP1R3E,0.314,chr14
AP1G2-AS1,0.517,chr14
AP1G2,0.506,chr14
TM9SF1,0.192,chr14
RABGGTA,0.987,chr14
LOC102725044,0.255,chr14
DHRS1,0.0909,chr14
NOP9,0.789,chr14
CIDEB,0.989,chr14
LTB4R2,0.987,chr14
NFATC4,0.977,chr14
NYNRIN,0.49,chr14
KHNYN,0.568,chr14
LOC101927045,0.25,chr14
NOVA1,0.512,chr14
SCFD1,0.627,chr14
STRN3,0.319,chr14
NUBPL,0.142,chr14
AKAP6,0.148,chr14
EAPP,0.16,chr14
SNX6,0.885,chr14
BAZ1A-AS1,0.404,chr14
SRP54,0.116,chr14
FAM177A1,0.814,chr14
PPP2R3C,0.0222,chr14
PRORP,0.512,chr14
MIPOL1,0.849,chr14
SEC23A,0.677,chr14
FBXO33,0.0509,chr14
LINC01599,0.183,chr14
LINC01588,0.207,chr14
VCPKMT,0.515,chr14
SOS2,0.117,chr14
SAV1,0.182,chr14
NIN,0.00209,chr14
PYGL,0.0758,chr14
TRIM9,0.477,chr14
NID2,0.0366,chr14
BMP4,0.949,chr14
SAMD4A,0.0464,chr14
SOCS4,0.238,chr14
MAPK1IP1L,0.0831,chr14
LGALS3,0.327,chr14
DLGAP5,0.47,chr14
FBXO34,0.988,chr14
ATG14,0.137,chr14
KTN1-AS1,0.779,chr14
KTN1,0.00752,chr14
TMEM260,0.00156,chr14
LOC105370515,0.135,chr14
EXOC5,0.182,chr14
ARMH4,0.665,chr14
ACTR10,0.639,chr14
PSMA3-AS1,0.741,chr14
PSMA3,0.772,chr14
ARID4A,0.194,chr14
TOMM20L-DT,0.587,chr14
KIAA0586,0.0684,chr14
DACT1,0.117,chr14
DAAM1,0.132,chr14
GPR135,0.0496,chr14
L3HYPDH,0.242,chr14
SNAPC1,0.617,chr14
RHOJ,0.363,chr14
ESR2,0.351,chr14
SYNE2,0.339,chr14
MTHFD1,0.254,chr14
ZBTB25,0.196,chr14
ZBTB1,0.695,chr14
HSPA2-AS1,0.426,chr14
CHURC1-FNTB,0.0442,chr14
CHURC1,0.00271,chr14
RAB15,0.12,chr14
FNTB,0.929,chr14
MAX,0.142,chr14
FUT8,0.777,chr14
PIGH,0.208,chr14
VTI1B,1e-06,chr14
ARG2,5e-06,chr14
RDH11,0.0926,chr14
ZFP36L1,0.000815,chr14
DCAF5,0.209,chr14
GALNT16-AS1,0.227,chr14
EXD2,0.221,chr14
SLC39A9,0.787,chr14
SYNJ2BP-COX16,0.0147,chr14
SYNJ2BP,0.0157,chr14
PCNX1,0.386,chr14
ACOT4,0.338,chr14
MIDEAS,0.146,chr14
DLST,0.596,chr14
EIF2B2,0.0414,chr14
MLH3,0.0926,chr14
IFT43,0.135,chr14
GPATCH2L,0.213,chr14
ANGEL1,0.729,chr14
TMEM63C,0.0091,chr14
CIPC,0.0094,chr14
POMT2,0.59,chr14
TMED8,0.0861,chr14
VIPAS39,0.117,chr14
AHSA1,0.115,chr14
DIO2,1.2e-05,chr14
SEL1L,0.834,chr14
FLRT2,0.319,chr14
GALC,0.293,chr14
SPATA7,0.261,chr14
PTPN21,0.0684,chr14
TTC8,0.542,chr14
FOXN3,0.0653,chr14
PSMC1,0.212,chr14
TTC7B,0.653,chr14
DGLUCY,0.713,chr14
GPR68,0.332,chr14
TRIP11,0.514,chr14
ATXN3,0.537,chr14
NDUFB1,0.915,chr14
CPSF2,0.996,chr14
ITPK1,0.0179,chr14
MOAP1,0.556,chr14
TMEM251,0.0132,chr14
BTBD7,0.948,chr14
WARS1,0.396,chr14
WDR25,0.574,chr14
LOC107984658,0.0785,chr14
LOC107984659,0.0819,chr14
CINP,0.828,chr14
ZNF839,0.478,chr14
TECPR2,0.158,chr14
ANKRD9,0.0938,chr14
RCOR1,0.00693,chr14
AMN,0.728,chr14
CDC42BPB,0.57,chr14
TNFAIP2,0.0597,chr14
BAG5,0.681,chr14
KLC1,0.791,chr14
COA8,0.573,chr14
XRCC3,0.536,chr14
SETD3,0.891,chr14
HHIPL1,0.21,chr14
LOC107984661,0.942,chr14
DYNC1H1,0.241,chr14
HSP90AA1,0.522,chr14
WDR20,0.159,chr14
MOK,0.0812,chr14
MARK3,0.268,chr14
ZFYVE21,0.0984,chr14
PPP1R13B,0.731,chr14
ADSS1,0.248,chr14
SIVA1,0.16,chr14
AKT1,0.667,chr14
CEP170B,0.572,chr14
AHNAK2,0.976,chr14
SUPT16H,0.299,chr14
RAB2B,0.00374,chr14
SLC7A7,0.856,chr14
SLC7A8,0.213,chr14
DHRS4-AS1,0.000775,chr14
DHRS4,0.629,chr14
DHRS4L2,0.776,chr14
DHRS4L1,0.767,chr14
SDR39U1,0.943,chr14
G2E3,0.0965,chr14
LOC100506071,0.688,chr14
COCH,0.701,chr14
HECTD1,0.136,chr14
HEATR5A,0.918,chr14
HEATR5A-DT,0.282,chr14
DTD2,0.301,chr14
LOC102724945,0.0883,chr14
SPTSSA,0.091,chr14
BAZ1A,0.00158,chr14
PSMA6,0.422,chr14
TRAPPC6B,0.0305,chr14
PNN,0.121,chr14
MIA2,0.117,chr14
CDKL1,0.0337,chr14
ATL1,0.331,chr14
TMX1,0.3,chr14
STYX,0.689,chr14
GNPNAT1,0.905,chr14
DDHD1,0.209,chr14
CNIH1,0.000815,chr14
GMFB,0.0764,chr14
